account_id,name,phone,device_id,bank,created_days_ago,label
ACC0001,Sneha Sharma,9896233790,DEV-00001,ICICI,531,legit
ACC0002,Kavya Patel,9890779946,DEV-00002,SBI,1415,legit
ACC0003,Meera Verma,9734036506,DEV-00003,Axis,95,legit
ACC0004,Amit Verma,9334760738,DEV-00004,HDFC,1064,legit
ACC0005,Shreya Sharma,9702632297,DEV-00005,HDFC,1496,legit
ACC0006,Meera Singh,9336696312,DEV-00006,Axis,1236,legit
ACC0007,Suresh Chauhan,9106977991,DEV-00007,Paytm Bank,356,legit
ACC0008,Pooja Iyer,9398362082,DEV-00008,HDFC,470,legit
ACC0009,Arjun Verma,9199585092,DEV-00009,Axis,228,legit
ACC0010,Divya Bose,9469319644,DEV-00010,PNB,571,legit
ACC0011,Priya Kulkarni,9593303705,DEV-00011,PNB,285,legit
ACC0012,Karan Verma,9692749116,DEV-00012,ICICI,1317,legit
ACC0013,Shreya Bose,9488302652,DEV-00013,PNB,423,legit
ACC0014,Rahul Sharma,9810026086,DEV-00014,HDFC,622,legit
ACC0015,Rahul Bose,9349957310,DEV-00015,Paytm Bank,236,legit
ACC0016,Karan Reddy,9586845604,DEV-00016,Kotak,777,legit
ACC0017,Anjali Iyer,9481469012,DEV-00017,HDFC,1402,legit
ACC0018,Suresh Kulkarni,9833953718,DEV-00018,Kotak,176,legit
ACC0019,Shreya Mehta,9283758720,DEV-00019,PNB,531,legit
ACC0020,Anjali Nair,9507437181,DEV-00020,ICICI,1340,legit
ACC0021,Meera Gupta,9835098955,DEV-00021,ICICI,144,legit
ACC0022,Kavya Bose,9134467368,DEV-00022,Paytm Bank,676,legit
ACC0023,Karan Reddy,9171069472,DEV-00023,HDFC,1191,legit
ACC0024,Arjun Gupta,9803771909,DEV-00024,Axis,840,legit
ACC0025,Manish Patel,9384412919,DEV-00025,HDFC,535,legit
ACC0026,Meera Joshi,9382116655,DEV-00026,Kotak,1227,legit
ACC0027,Pooja Rao,9528853029,DEV-00027,ICICI,479,legit
ACC0028,Vikram Joshi,9629908599,DEV-00028,SBI,126,legit
ACC0029,Sneha Patel,9773715057,DEV-00029,HDFC,1423,legit
ACC0030,Pooja Rao,9168212356,DEV-00030,Axis,811,legit
ACC0031,Shreya Nair,9668132202,DEV-00031,ICICI,1163,legit
ACC0032,Amit Mehta,9873869166,DEV-00032,SBI,1426,legit
